| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:10:3:14:4 | onWindowStageCreate | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:10:3:14:4 | onWindowStageCreate(window.WindowStage) | loadContent | file:///:0:0:0:0 | loadContent() |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:6:3:8:4 | onCreate | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:6:3:8:4 | onCreate(Want, AbilityConstant.LaunchParam) | constructor | file:///DbLogger:0:0:0:0 | constructor() |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:6:3:8:4 | onCreate | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:6:3:8:4 | onCreate(Want, AbilityConstant.LaunchParam) | init | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:41:3:48:4 | init(Context, Logger) |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | onRestore | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | onRestore(BundleVersion) | info | file:///:0:0:0:0 | info() |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | onRestore | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | onRestore(BundleVersion) | resolve | file:///PromiseConstructor:0:0:0:0 | resolve() |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | onRestore | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | onRestore(BundleVersion) | stringify | file:///JSON:0:0:0:0 | stringify(any, Function, string\u007cnumber) |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | onBackup | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | onBackup() | info | file:///:0:0:0:0 | info() |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | onBackup | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | onBackup() | resolve | file:///PromiseConstructor:0:0:0:0 | resolve() |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | build() | color | file:///:0:0:0:0 | color() |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | build() | constructor | file:///%AC1$Index-build:0:0:0:0 | constructor() |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | build() | create | file:///Button:0:0:0:0 | create() |
