| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:10:3:14:4 | loadContent | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:10:3:14:4 | loadContent() | onWindowStageCreate | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:10:3:14:4 | EntryAbility | loadContent | file:///:0:0:0:0 |  |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:6:3:8:4 | init | 2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:6:3:8:4 | init(Context, Logger) | onCreate | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entryability/EntryAbility.ets:6:3:8:4 | EntryAbility | init | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:41:3:48:4 | Connection |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | info | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | info() | onRestore | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | EntryBackupAbility | info | file:///:0:0:0:0 |  |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | resolve | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | resolve() | onRestore | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | EntryBackupAbility | resolve | file:///PromiseConstructor:0:0:0:0 | PromiseConstructor |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | stringify | 3 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | stringify(any, Function, string\u007cnumber) | onRestore | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:12:3:15:4 | EntryBackupAbility | stringify | file:///JSON:0:0:0:0 | JSON |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | info | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | info() | onBackup | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | EntryBackupAbility | info | file:///:0:0:0:0 |  |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | resolve | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | resolve() | onBackup | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/entrybackupability/EntryBackupAbility.ets:7:3:10:4 | EntryBackupAbility | resolve | file:///PromiseConstructor:0:0:0:0 | PromiseConstructor |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | color | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | color() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | color | file:///:0:0:0:0 |  |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | create | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | create() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | create | file:///Button:0:0:0:0 | Button |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | create | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | create() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | create | file:///Divider:0:0:0:0 | Divider |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | create | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | create() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | create | file:///Flex:0:0:0:0 | Flex |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | height | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | height() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | height | file:///:0:0:0:0 |  |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | onClick | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | onClick() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | onClick | file:///:0:0:0:0 |  |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | pop | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | pop() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | pop | file:///Button:0:0:0:0 | Button |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | pop | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | pop() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | pop | file:///Divider:0:0:0:0 | Divider |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | pop | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | pop() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | pop | file:///Flex:0:0:0:0 | Flex |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | width | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | width() | build | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:15:3:412:4 | Index | width | file:///:0:0:0:0 |  |
| file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/EmpMapper.ets:27:3:57:4 | close | 0 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/EmpMapper.ets:27:3:57:4 | close() | createTable | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/EmpMapper.ets:27:3:57:4 | EmpMapper | close | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:125:3:128:4 | Connection |
